event_id,control_name,priority_level,priority_score,compliance_control,matched_rules
DRF00726,Control-76,HIGH,82.9,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00726,Control-76,HIGH,82.9,NIST SI-4,"[""DLP Rule Removed""]"
DRF00726,Control-76,HIGH,82.9,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00876,Control-50,HIGH,78.09,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00876,Control-50,HIGH,78.09,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00876,Control-50,HIGH,78.09,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00994,Control-65,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00994,Control-65,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00994,Control-65,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00994,Control-65,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00501,Control-11,HIGH,79.22,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00501,Control-11,HIGH,79.22,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00501,Control-11,HIGH,79.22,NIST SI-4,"[""DLP Rule Removed""]"
DRF00501,Control-11,HIGH,79.22,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00998,Control-93,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00998,Control-93,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00998,Control-93,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00998,Control-93,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00584,Control-21,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00584,Control-21,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00584,Control-21,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00584,Control-21,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00843,Control-18,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00843,Control-18,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00843,Control-18,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00843,Control-18,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00810,Control-88,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00810,Control-88,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00810,Control-88,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00810,Control-88,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00950,Control-42,HIGH,77.04,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00950,Control-42,HIGH,77.04,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00950,Control-42,HIGH,77.04,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00520,Control-37,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00520,Control-37,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00520,Control-37,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00520,Control-37,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00906,Control-39,HIGH,84.99,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00906,Control-39,HIGH,84.99,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00906,Control-39,HIGH,84.99,NIST SI-4,"[""DLP Rule Removed""]"
DRF00906,Control-39,HIGH,84.99,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00828,Control-18,CRITICAL,93.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00828,Control-18,CRITICAL,93.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00828,Control-18,CRITICAL,93.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00828,Control-18,CRITICAL,93.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00739,Control-59,HIGH,77.42,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00739,Control-59,HIGH,77.42,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00739,Control-59,HIGH,77.42,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00899,Control-73,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00899,Control-73,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00899,Control-73,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00899,Control-73,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00914,Control-27,HIGH,84.99,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00914,Control-27,HIGH,84.99,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00914,Control-27,HIGH,84.99,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00714,Control-26,HIGH,75.57,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00714,Control-26,HIGH,75.57,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00714,Control-26,HIGH,75.57,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00996,Control-59,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00996,Control-59,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00996,Control-59,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00996,Control-59,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00884,Control-13,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00884,Control-13,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00884,Control-13,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00884,Control-13,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00725,Control-80,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00725,Control-80,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00725,Control-80,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00725,Control-80,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00794,Control-58,HIGH,66.1,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00794,Control-58,HIGH,66.1,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00794,Control-58,HIGH,66.1,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00964,Control-81,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00964,Control-81,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00964,Control-81,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00964,Control-81,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00178,Control-87,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00178,Control-87,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00178,Control-87,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00178,Control-87,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00462,Control-53,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00462,Control-53,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00462,Control-53,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00462,Control-53,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00222,Control-57,HIGH,76.47,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00222,Control-57,HIGH,76.47,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00222,Control-57,HIGH,76.47,NIST SI-4,"[""DLP Rule Removed""]"
DRF00222,Control-57,HIGH,76.47,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00080,Control-80,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00080,Control-80,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00080,Control-80,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00080,Control-80,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00291,Control-22,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00291,Control-22,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00291,Control-22,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00291,Control-22,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00174,Control-34,HIGH,71.4,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00174,Control-34,HIGH,71.4,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00174,Control-34,HIGH,71.4,NIST SI-4,"[""DLP Rule Removed""]"
DRF00174,Control-34,HIGH,71.4,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00379,Control-22,HIGH,73.17,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00379,Control-22,HIGH,73.17,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00379,Control-22,HIGH,73.17,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00175,Control-34,HIGH,68.66,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00175,Control-34,HIGH,68.66,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00175,Control-34,HIGH,68.66,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00016,Control-89,HIGH,74.83,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00016,Control-89,HIGH,74.83,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00016,Control-89,HIGH,74.83,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00365,Control-54,HIGH,77.97,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00365,Control-54,HIGH,77.97,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00365,Control-54,HIGH,77.97,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00052,Control-6,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00052,Control-6,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00052,Control-6,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00052,Control-6,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00058,Control-26,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00058,Control-26,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00058,Control-26,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00058,Control-26,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00288,Control-99,HIGH,68.84,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00288,Control-99,HIGH,68.84,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00288,Control-99,HIGH,68.84,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00443,Control-35,HIGH,74.22,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00443,Control-35,HIGH,74.22,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00443,Control-35,HIGH,74.22,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00342,Control-54,MEDIUM,64.59,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00342,Control-54,MEDIUM,64.59,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00342,Control-54,MEDIUM,64.59,NIST SI-4,"[""DLP Rule Removed""]"
DRF00342,Control-54,MEDIUM,64.59,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00307,Control-17,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00307,Control-17,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00307,Control-17,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00307,Control-17,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00280,Control-20,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00280,Control-20,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00280,Control-20,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00280,Control-20,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00332,Control-88,HIGH,67.62,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00332,Control-88,HIGH,67.62,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00332,Control-88,HIGH,67.62,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00389,Control-96,HIGH,81.49,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00389,Control-96,HIGH,81.49,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00389,Control-96,HIGH,81.49,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00103,Control-26,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00103,Control-26,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00103,Control-26,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00103,Control-26,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00091,Control-40,HIGH,70.76,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00091,Control-40,HIGH,70.76,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00091,Control-40,HIGH,70.76,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00144,Control-8,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00144,Control-8,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00144,Control-8,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00144,Control-8,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00065,Control-74,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00065,Control-74,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00065,Control-74,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00065,Control-74,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00139,Control-9,HIGH,83.73,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00139,Control-9,HIGH,83.73,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00139,Control-9,HIGH,83.73,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00044,Control-34,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00044,Control-34,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00044,Control-34,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00044,Control-34,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00403,Control-19,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00403,Control-19,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00403,Control-19,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00403,Control-19,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00246,Control-98,HIGH,70.38,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00246,Control-98,HIGH,70.38,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00246,Control-98,HIGH,70.38,NIST SI-4,"[""DLP Rule Removed""]"
DRF00246,Control-98,HIGH,70.38,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00444,Control-41,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00444,Control-41,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00444,Control-41,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00444,Control-41,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00095,Control-12,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00095,Control-12,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00095,Control-12,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00095,Control-12,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00423,Control-86,HIGH,77.46,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00423,Control-86,HIGH,77.46,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00423,Control-86,HIGH,77.46,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00022,Control-16,HIGH,76.72,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00022,Control-16,HIGH,76.72,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00022,Control-16,HIGH,76.72,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00273,Control-21,HIGH,78.25,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00273,Control-21,HIGH,78.25,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00273,Control-21,HIGH,78.25,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00493,Control-25,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00493,Control-25,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00493,Control-25,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00493,Control-25,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00469,Control-68,MEDIUM,64.43,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00469,Control-68,MEDIUM,64.43,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00469,Control-68,MEDIUM,64.43,NIST SI-4,"[""DLP Rule Removed""]"
DRF00469,Control-68,MEDIUM,64.43,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00161,Control-31,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00161,Control-31,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00161,Control-31,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00161,Control-31,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00094,Control-35,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00094,Control-35,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00094,Control-35,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00094,Control-35,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00126,Control-89,MEDIUM,61.99,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00126,Control-89,MEDIUM,61.99,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00126,Control-89,MEDIUM,61.99,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00351,Control-68,HIGH,74.59,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00351,Control-68,HIGH,74.59,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00351,Control-68,HIGH,74.59,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00248,Control-2,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00248,Control-2,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00248,Control-2,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00248,Control-2,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00476,Control-22,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00476,Control-22,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00476,Control-22,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00476,Control-22,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00311,Control-37,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00311,Control-37,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00311,Control-37,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00311,Control-37,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00028,Control-69,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00028,Control-69,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00028,Control-69,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00028,Control-69,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00131,Control-77,HIGH,84.62,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00131,Control-77,HIGH,84.62,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00131,Control-77,HIGH,84.62,NIST SI-4,"[""DLP Rule Removed""]"
DRF00131,Control-77,HIGH,84.62,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00437,Control-5,MEDIUM,61.63,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00437,Control-5,MEDIUM,61.63,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00437,Control-5,MEDIUM,61.63,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00088,Control-49,HIGH,67.6,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00088,Control-49,HIGH,67.6,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00088,Control-49,HIGH,67.6,NIST SI-4,"[""DLP Rule Removed""]"
DRF00088,Control-49,HIGH,67.6,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00217,Control-43,HIGH,66.25,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00217,Control-43,HIGH,66.25,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00217,Control-43,HIGH,66.25,NIST SI-4,"[""DLP Rule Removed""]"
DRF00217,Control-43,HIGH,66.25,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00209,Control-22,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00209,Control-22,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00209,Control-22,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00209,Control-22,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00180,Control-78,MEDIUM,64.82,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00180,Control-78,MEDIUM,64.82,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00180,Control-78,MEDIUM,64.82,NIST SI-4,"[""DLP Rule Removed""]"
DRF00180,Control-78,MEDIUM,64.82,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00410,Control-26,HIGH,78.72,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00410,Control-26,HIGH,78.72,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00410,Control-26,HIGH,78.72,NIST SI-4,"[""DLP Rule Removed""]"
DRF00410,Control-26,HIGH,78.72,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00146,Control-5,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00146,Control-5,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00146,Control-5,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00146,Control-5,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00374,Control-21,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00374,Control-21,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00374,Control-21,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00374,Control-21,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00147,Control-68,HIGH,68.47,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00147,Control-68,HIGH,68.47,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00147,Control-68,HIGH,68.47,NIST SI-4,"[""DLP Rule Removed""]"
DRF00147,Control-68,HIGH,68.47,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00159,Control-94,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00159,Control-94,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00159,Control-94,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00159,Control-94,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00023,Control-15,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00023,Control-15,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00023,Control-15,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00023,Control-15,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00067,Control-49,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00067,Control-49,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00067,Control-49,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00067,Control-49,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00024,Control-40,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00024,Control-40,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00024,Control-40,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00024,Control-40,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00003,Control-36,HIGH,66.68,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00003,Control-36,HIGH,66.68,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00003,Control-36,HIGH,66.68,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00135,Control-30,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00135,Control-30,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
